id,question,question_type,expected,prolog_result,is_correct
tax_case_80,% How much tax does Alice have to pay in 2014? $21452,numerical,Contradiction,true,False
tax_case_81,% How much tax does Alice have to pay in 2012? $10922,numerical,Contradiction,true,False
tax_case_83,% How much tax does Alice have to pay in 2016? $206073,numerical,Contradiction,error,False
tax_case_84,% How much tax does Alice have to pay in 2017? $2574,numerical,Contradiction,false,False
tax_case_86,% How much tax does Alice have to pay in 2017? $0,numerical,Contradiction,true,False
tax_case_87,% How much tax does Alice have to pay in 2018? $243103,numerical,Contradiction,true,False
tax_case_88,% How much tax does Alice have to pay in 2011? $2334,numerical,Contradiction,true,False
tax_case_89,% How much tax does Alice have to pay in 2018? $0,numerical,Contradiction,true,False
tax_case_91,% How much tax does Alice have to pay in 2017? $247432,numerical,Contradiction,error,False
tax_case_92,% How much tax does Alice have to pay in 2010? $3274,numerical,Contradiction,true,False
tax_case_94,% How much tax does Alice have to pay in 2010? $63345,numerical,Contradiction,true,False
tax_case_95,% How much tax does Alice have to pay in 2017? $174,numerical,Contradiction,true,False
tax_case_96,% How much tax does Alice have to pay in 2003? $7611,numerical,Contradiction,true,False
tax_case_97,% How much tax does Alice have to pay in 2005? $33069,numerical,Contradiction,true,False
tax_case_98,% How much tax does Alice have to pay in 2015? $14296,numerical,Contradiction,true,False
tax_case_99,% How much tax does Alice have to pay in 2017? $15037,numerical,Contradiction,true,False
s151_d_1_neg,% Alice's exemption amount under section 151(d)(1) is equal to $0. Contradiction,logical,Contradiction,Contradiction,True
s151_d_1_pos,% Alice's exemption amount under section 151(d)(1) is equal to $2000. Entailment,logical,Entailment,Entailment,True
s151_d_3_A_neg,"% Under section 151(d)(3)(A), Alice's exemption amount is reduced to $1900. Contradiction",logical,Contradiction,Contradiction,True
s151_d_3_A_pos,"% Under section 151(d)(3)(A), Alice's exemption amount is reduced to $1800. Entailment",logical,Entailment,Entailment,True
s151_d_5_neg,% The exemption amount of Alice's exemption is equal to $2000 under section 151(d)(5). Contradiction,logical,Contradiction,Contradiction,True
s151_d_5_pos,% The exemption amount of Alice's exemption is equal to $0 under section 151(d)(5). Entailment,logical,Entailment,Entailment,True
s152_a_neg,"% Under section 152(a), Bob is a dependent of Alice for the year 2014. Contradiction",logical,Contradiction,Contradiction,True
s152_a_pos,"% Under section 152(a), Bob is a dependent of Alice for the year 2015. Entailment",logical,Entailment,Entailment,True
s152_c_2_A_neg,% Bob bears a relationship to Alice under section 152(c)(2)(A). Contradiction,logical,Contradiction,Contradiction,True
s152_c_2_A_pos,% Bob bears a relationship to Alice under section 152(c)(2)(A). Entailment,logical,Entailment,Entailment,True
s152_d_1_D_neg,% Section 152(d)(1)(D) applies to Bob for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_d_1_D_pos,% Section 152(d)(1)(D) applies to Bob for the year 2015. Entailment,logical,Entailment,Entailment,True
s152_d_2_A_neg,% Alice bears a relationship to Bob under section 152(d)(2)(A). Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_A_pos,% Alice bears a relationship to Bob under section 152(d)(2)(A). Entailment,logical,Entailment,Entailment,True
s152_d_2_C_neg,% Alice bears a relationship to Bob under section 152(d)(2)(C). Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_C_pos,% Alice bears a relationship to Bob under section 152(d)(2)(C). Entailment,logical,Entailment,Entailment,True
s152_d_2_G_neg,% Alice bears a relationship to Bob under section 152(d)(2)(G) for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_G_pos,% Alice bears a relationship to Charlie under section 152(d)(2)(G) for the year 2018. Entailment,logical,Entailment,Contradiction,False
s152_d_2_H_neg,% Alice bears a relationship to Bob under section 152(d)(2)(H) for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_H_pos,% Alice bears a relationship to Bob under section 152(d)(2)(H) for the year 2018. Entailment,logical,Entailment,Entailment,True
s1_a_2_iv_neg,% Alice has to pay $220295 in taxes for the year 2017 under section 1(a)(iv). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_iv_pos,% Alice has to pay $70640 in taxes for the year 2017 under section 1(a)(iv). Entailment,logical,Entailment,Entailment,True
s1_a_2_neg,% Alice has to pay $65445 in taxes for the year 2017 under section 1(a). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_pos,% Alice has to pay $14836 in taxes for the year 2017 under section 1(a). Entailment,logical,Entailment,Entailment,True
s1_a_2_v_neg,% Alice has to pay $3834 in taxes for the year 2017 under section 1(a)(v). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_v_pos,% Alice has to pay $220295 in taxes for the year 2017 under section 1(a)(v). Entailment,logical,Entailment,Entailment,True
s1_b_i_neg,% Alice has to pay $442985 in taxes for the year 2017 under section 1(b)(i). Contradiction,logical,Contradiction,Contradiction,True
s1_b_i_pos,% Alice has to pay $1434 in taxes for the year 2017 under section 1(b)(i). Entailment,logical,Entailment,Entailment,True
s1_b_neg,% Alice has to pay $207772 in taxes for the year 2017 under section 1(b). Contradiction,logical,Contradiction,Contradiction,True
s1_b_pos,% Alice has to pay $24056 in taxes for the year 2017 under section 1(b). Entailment,logical,Entailment,Entailment,True
s1_c_iii_neg,% Alice has to pay $3538 in taxes for the year 2017 under section 1(c)(iii). Contradiction,logical,Contradiction,Contradiction,True
s1_c_iii_pos,% Alice has to pay $27225 in taxes for the year 2017 under section 1(c)(iii). Entailment,logical,Entailment,Entailment,True
s1_c_neg,% Alice and her spouse have to pay $2600 in taxes for the year 2017 under section 1(c). Contradiction,logical,Contradiction,Contradiction,True
s1_c_pos,% Alice has to pay $65445 in taxes for the year 2017 under section 1(c). Entailment,logical,Entailment,Entailment,True
s1_d_i_neg,% Alice has to pay $17123 in taxes for the year 2017 under section 1(d)(i). Contradiction,logical,Contradiction,Contradiction,True
s1_d_i_pos,% Alice has to pay $999 in taxes for the year 2017 under section 1(d)(i). Entailment,logical,Entailment,Entailment,True
s1_d_ii_neg,% Alice has to pay $33653 in taxes for the year 2017 under section 1(d)(ii). Contradiction,logical,Contradiction,Contradiction,True
s1_d_ii_pos,% Alice has to pay $5683 in taxes for the year 2017 under section 1(d)(ii). Entailment,logical,Entailment,Entailment,True
s1_d_neg,% Alice has to pay $14836 in taxes for the year 2017 under section 1(d). Contradiction,logical,Contradiction,Contradiction,True
s1_d_pos,% Alice has to pay $207772 in taxes for the year 2017 under section 1(d). Entailment,logical,Entailment,Entailment,True
s2_a_1_B_neg,% Section 2(a)(1)(B) applies to Bob in 2020. Contradiction,logical,Contradiction,Contradiction,True
s2_a_1_B_pos,% Section 2(a)(1)(B) applies to Bob in 2016. Entailment,logical,Entailment,Contradiction,False
s2_b_1_A_i_II_neg,% Section 2(b)(1)(A)(i)(II) applies to Bob with Charlie as the qualifying child in 2018. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_A_i_II_pos,% Section 2(b)(1)(A)(i)(II) applies to Bob with Charlie as the qualifying child in 2018. Entailment,logical,Entailment,Entailment,True
s2_b_1_A_i_I_neg,% Section 2(b)(1)(A)(i)(I) applies to Charlie in 2017. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_A_i_I_pos,% Section 2(b)(1)(A)(i)(I) applies to Charlie in 2017. Entailment,logical,Entailment,Contradiction,False
s2_b_1_A_i_neg,% Section 2(b)(1)(A)(i) applies to Bob in 2018. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_A_i_pos,% Section 2(b)(1)(A)(i) applies to Charlie in 2018. Entailment,logical,Entailment,Contradiction,False
s2_b_1_A_ii_neg,% Section 2(b)(1)(A)(ii) applies to Charlie as the dependent in 2017. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_A_ii_pos,% Section 2(b)(1)(A)(ii) applies to Charlie as the dependent in 2017. Entailment,logical,Entailment,Contradiction,False
s2_b_3_A_neg,% Section 2(b)(3)(A) applies to Bob in 2019. Contradiction,logical,Contradiction,Contradiction,True
s2_b_3_A_pos,% Section 2(b)(3)(A) applies to Bob in 2018. Entailment,logical,Entailment,Entailment,True
s3301_neg,% Alice has to pay $26362 in excise tax for the year 2016 under section 3301. Contradiction,logical,Contradiction,Contradiction,True
s3301_pos,% Alice has to pay $27181 in excise tax for the year 2015 under section 3301. Entailment,logical,Entailment,Entailment,True
s3306_a_1_B_neg,% Section 3306(a)(1)(B) applies to Alice for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_a_1_B_pos,% Section 3306(a)(1)(B) applies to Alice for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_a_3_neg,% Section 3306(a)(3) applies to Alice for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_a_3_pos,% Section 3306(a)(3) applies to Bob for the year 2018. Entailment,logical,Entailment,Entailment,True
s3306_b_2_C_neg,% Section 3306(b)(2)(C) applies to the payment Alice made to the retirement fund for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_2_C_pos,% Section 3306(b)(2)(C) applies to the payment Alice made to the life insurance fund for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_10_B_neg,% Section 3306(c)(10)(B) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_10_B_pos,% Section 3306(c)(10)(B) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_11_neg,% Section 3306(c)(11) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_11_pos,% Section 3306(c)(11) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_16_neg,% Section 3306(c)(16) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_16_pos,% Section 3306(c)(16) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_1_B_neg,% Section 3306(c)(1)(B) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_1_B_pos,% Section 3306(c)(1)(B) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_6_neg,% Section 3306(c)(6) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_6_pos,% Section 3306(c)(6) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_7_neg,% Section 3306(c)(7) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_7_pos,% Section 3306(c)(7) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_B_neg,% Section 3306(c)(B) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_B_pos,% Section 3306(c)(B) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s63_b_neg,"% Under section 63(b), Alice's taxable income in 2017 is equal to $31400. Contradiction",logical,Contradiction,Contradiction,True
s63_b_pos,"% Under section 63(b), Alice's taxable income in 2017 is equal to $31200. Entailment",logical,Entailment,Entailment,True
s63_c_2_A_i_neg,% Section 63(c)(2)(A)(i) applies to Alice in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_c_2_A_i_pos,% Section 63(c)(2)(A)(i) applies to Alice in 2017. Entailment,logical,Entailment,Entailment,True
s63_c_2_A_ii_neg,% Section 63(c)(2)(A)(ii) applies to Alice in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_c_2_A_ii_pos,% Section 63(c)(2)(A)(ii) applies to Alice in 2017. Entailment,logical,Entailment,Entailment,True
s63_c_6_B_neg,% Section 63(c)(6)(B) applies to Alice for 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_c_6_B_pos,% Section 63(c)(6)(B) applies to Alice for 2017. Entailment,logical,Entailment,Entailment,True
s63_c_6_D_neg,% Section 63(c)(6)(D) applies to the Walter Brown Family Trust II for 2021. Contradiction,logical,Contradiction,Contradiction,True
s63_c_6_D_pos,% Section 63(c)(6)(D) applies to the Walter Brown Family Trust II for 1999. Entailment,logical,Entailment,Entailment,True
s63_c_7_i_neg,"% Under section 63(c)(7)(i), Alice's basic standard deduction in 2019 is equal to $4400. Contradiction",logical,Contradiction,Contradiction,True
s63_c_7_i_pos,"% Under section 63(c)(7)(i), Alice's basic standard deduction in 2019 is equal to $18000. Entailment",logical,Entailment,Entailment,True
s63_f_1_A_neg,% Section 63(f)(1)(A) applies to Bob in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_f_1_A_pos,% Section 63(f)(1)(A) applies to Alice in 2017. Entailment,logical,Entailment,Entailment,True
s63_f_2_B_neg,% Section 63(f)(2)(B) applies to Alice in 2017 with Bob as the spouse. Contradiction,logical,Contradiction,Contradiction,True
s63_f_2_B_pos,% Section 63(f)(2)(B) applies to Bob in 2017 with Alice as the spouse. Entailment,logical,Entailment,Entailment,True
s68_a_2_neg,% Section 68(a)(2) prescribes a reduction of Alice's itemized deductions for the year 2016 by $47000. Contradiction,logical,Contradiction,Contradiction,True
s68_a_2_pos,% Section 68(a)(2) prescribes a reduction of Alice's itemized deductions for the year 2016 by $48000. Entailment,logical,Entailment,Entailment,True
s68_b_1_B_neg,"% Under section 68(b)(1)(B), Alice's applicable amount for 2016 is equal to $275000. Contradiction",logical,Contradiction,Contradiction,True
s68_b_1_B_pos,"% Under section 68(b)(1)(B), Alice's applicable amount for 2016 is equal to $275000. Entailment",logical,Entailment,Entailment,True
s68_b_1_C_neg,% Section 68(b)(1)(C) applies to Alice in 2016. Contradiction,logical,Contradiction,Contradiction,True
s68_b_1_C_pos,% Section 68(b)(1)(C) applies to Alice in 2016 with the applicable amount equal to $250000. Entailment,logical,Entailment,Entailment,True
s7703_a_1_neg,% Section 7703(a)(1) applies to Alice for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s7703_a_1_pos,% Section 7703(a)(1) applies to Alice for the year 2012. Entailment,logical,Entailment,Entailment,True
s7703_b_2_neg,% Section 7703(b)(2) applies to Alice maintaining her home for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s7703_b_2_pos,% Section 7703(b)(2) applies to Alice maintaining her home for the year 2018. Entailment,logical,Entailment,Entailment,True
tax_case_28,% How much tax does Alice have to pay in 2017? $344848,numerical,Contradiction,true,False
tax_case_30,% How much tax does Alice have to pay in 2017? $249,numerical,Contradiction,false,False
tax_case_31,% How much tax does Alice have to pay in 2017? $6621,numerical,Contradiction,true,False
tax_case_34,% How much tax does Alice have to pay in 2017? $2684,numerical,Contradiction,true,False
tax_case_43,% How much tax does Alice have to pay in 2017? $8439,numerical,Contradiction,true,False
tax_case_46,% How much tax does Alice have to pay in 2020? $17399,numerical,Contradiction,true,False
tax_case_48,% How much tax does Bob have to pay in 2018? $33068,numerical,Contradiction,error,False
tax_case_49,% How much tax does Alice have to pay in 2015? $82819,numerical,Contradiction,true,False
tax_case_53,% How much tax does Alice have to pay in 2020? $206332,numerical,Contradiction,true,False
tax_case_57,% How much tax does Alice have to pay in 2017? $4073,numerical,Contradiction,true,False
tax_case_68,% How much tax does Alice have to pay in 2018? $28292,numerical,Contradiction,true,False
tax_case_69,% How much tax does Alice have to pay in 2014? $264225,numerical,Contradiction,true,False
tax_case_75,% How much tax does Alice have to pay in 2012? $8883,numerical,Contradiction,false,False
tax_case_77,% How much tax does Alice have to pay in 2023? $6449,numerical,Contradiction,true,False
tax_case_78,% How much tax does Alice have to pay in 2019? $14470,numerical,Contradiction,true,False
tax_case_82,% How much tax does Bob have to pay in 2012? $986,numerical,Contradiction,true,False
tax_case_85,% How much tax does Alice have to pay in 2019? $2477,numerical,Contradiction,true,False
tax_case_9,% How much tax does Alice have to pay in 2018? $10598,numerical,Contradiction,error,False
tax_case_90,% How much tax does Bob have to pay in 2018? $96641,numerical,Contradiction,error,False
tax_case_93,% How much tax does Alice have to pay in 2015? $102150,numerical,Contradiction,true,False
